Activation Method,Armed Actors/ Security Personnel Casualties Total,Armed Actors/ Security Personnel Injured,Armed Actors/ Security Personnel Killed,Boys,Children,Civilian Casualties Total,Civilians Injured,Civilians Killed,Country,Date,Description,Girls,Launch Method,Location,Perpetrator Group Name,Perpetrator Status,Populated Area,Target,Weapon Type,Women
Victim-activated,0,0,0,0,0,1,1,0,Thailand,10-11-2011,Farmer receives serious shrapnel wounds to face,0,IED,Agricultural Land,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Remote Detonation,2,0,2,0,1,10,4,6,Pakistan,13-11-2011,IED on cart kills eight in market,0,IED,Market,Lashkar-e-Islam,Non-State Actors,Yes,Armed Groups,Non-specific IED,0
Suicide Attack,2,0,2,0,0,0,0,0,Kazakhstan,12-11-2011,Two killed by IED in attack on police station,0,IED,Police Station,Soldiers Of The Caliphate,Non-State Actors,Yes,Not Reported,Non-specific IED,0
Victim-activated,2,0,2,0,0,0,0,0,Afghanistan,17-11-2011,Two British soldiers killed in vehicle,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,0,2,2,0,India,17-11-2011,IED wounds two outside school,0,IED,School,Unknown,Unknown,Yes,Not Reported,Non-specific IED,0
Suicide Attack,7,0,7,0,0,0,0,0,Pakistan,16-11-2011,Two police killed by IED on city sea-front,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Remote Detonation,4,4,0,0,0,0,0,0,Kenya,16-11-2011,Four injured in vehicle near refugee camp,0,IED,Encampment,Unknown,Non-State Actors,Yes,Not Reported,Roadside Bomb,0
Suicide Attack,1,0,1,0,0,3,0,3,Afghanistan,20-11-2011,IED attack on governor's building wounds three,0,IED,Public Building,Unknown,Unknown,Yes,State (unarmed),Non-specific IED,0
Remote Detonation,4,3,1,0,0,5,5,0,Pakistan,22-11-2011,Bomb attack on school kills policeman,0,IED,School,Unknown,Unknown,Yes,Infrastructure,Non-specific IED,0
Victim-activated,1,1,0,0,0,0,0,0,Afghanistan,22-11-2011,German soldier injured by IED,0,IED,Road,Unknown,Unknown,Yes,Not Reported,Roadside Bomb,0
Victim-activated,1,0,1,0,0,0,0,0,Afghanistan,18-11-2011,US soldier steps on IED,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,0,21,13,8,Iraq,26-11-2011,Eight construction workers killed on minibus,0,IED,Village,Unknown,Unknown,Yes,Not Reported,Roadside Bomb,0
Remote Detonation,0,0,0,0,2,7,6,1,Somalia,27-11-2011,Nurse killed by IED in hospital,2,IED,Hospital,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Suicide Attack,12,0,12,0,2,32,24,8,Iraq,28-11-2011,Bombing at prison kills 19 including 11 guards,0,IED,Police Station,Unknown,Unknown,Yes,Not Reported,Car Bomb,0
Suicide Attack,1,0,1,0,0,2,2,0,Iraq,28-11-2011,Politician injured in attack on Parliament,0,IED,Public Building,Unknown,Unknown,Yes,State (unarmed),Car Bomb,0
Suicide Attack,17,12,5,0,0,0,0,0,Somalia,30-11-2011,Five die in IED attack at central base,0,IED,Armed Base,Unknown,Unknown,Yes,State (armed),Non-specific IED,0
Remote Detonation,0,0,0,0,0,3,2,1,Pakistan,30-11-2011,Peace committee leader killed in market,0,IED,Market,Unknown,Unknown,Yes,Civilians,Non-specific IED,0
Victim-activated,1,1,0,0,0,0,0,0,Afghanistan,15-11-2011,US soldier loses legs below the knee,0,IED,No Information,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Victim-activated,8,3,5,0,0,0,0,0,Afghanistan,01-12-2011,Five Afghan police killed in Baghlan province,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Suicide Attack,8,7,1,0,0,64,63,1,Afghanistan,02-12-2011,IED wounds 70 and damages buildings outside NATO base,0,IED,Armed Base,Taliban,Non-State Actors,Yes,International Actor (armed),Car Bomb,0
Victim-activated,0,0,0,0,6,11,6,5,Afghanistan,05-12-2011,Four children and a woman killed in van as it leaves market,0,IED,Market,Unknown,Unknown,Yes,Not Reported,Roadside Bomb,2
Suicide Attack,1,0,1,0,0,216,136,80,Afghanistan,06-12-2011,56 killed in attack on Shi'ite mosque,0,IED,Place Of Worship,Laskhar-e-Jhangvi Al-Alami,Non-State Actors,Yes,Civilians,Non-specific IED,0
Victim-activated,0,0,0,0,5,25,6,19,Afghanistan,07-12-2011,19 people killed in bus ,0,IED,Public Transport,Unknown,Unknown,Yes,Not Reported,Roadside Bomb,0
Suicide Attack,2,0,2,0,0,13,10,3,Somalia,06-12-2011,Three civilians killed in city centre,0,IED,Town Centre,Al Shabaab,Non-State Actors,Yes,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,0,1,1,0,Italy,09-12-2011,Letter bomb wounds tax agency director,0,IED,Public Building,Informal Anarchist Front,Non-State Actors,Yes,State (unarmed),Non-specific IED,0
Remote Detonation,7,4,3,0,0,0,0,0,Pakistan,09-12-2011,Remote-controlled IED kills three paramilitary soldiers on University road,0,IED,Road,Unknown,Unknown,Yes,Not Reported,Roadside Bomb,0
Victim-activated,0,0,0,1,1,1,1,0,India,08-12-2011,Boy loses fingers whilst grazing cattle,0,IED,Agricultural Land,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,0,1,1,0,Mexico,09-12-2011,Letter bomb burns professor's fingers,0,IED,School,Individuals Tending To Savagery,Non-State Actors,Yes,Civilians,Non-specific IED,0
Suicide Attack,5,0,5,0,0,11,9,2,Afghanistan,09-12-2011,IED detonated in mosque kills seven,0,IED,Place Of Worship,Taliban,Non-State Actors,Yes,State (armed),Non-specific IED,0
Victim-activated,0,0,0,0,0,3,0,3,Afghanistan,10-12-2011,Three killed in taxi,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
Remote Detonation,0,0,0,0,0,17,16,1,Afghanistan,10-12-2011,Remote-controlled IED kills government official,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Remote Detonation,2,2,0,0,0,0,0,0,Kenya,11-12-2011,Two policemen injured in convoy,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Victim-activated,0,0,0,0,0,8,2,6,Afghanistan,13-12-2011,Six civilians including women and children killed,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,2
Remote Detonation,2,2,0,0,0,3,3,0,Afghanistan,13-12-2011,Bomb on bike wounds five,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Non-specific IED,0
Timed Detonation,0,0,0,0,0,3,3,0,India,14-12-2011,IED in government department injures three,0,IED,Public Building,Unknown,Unknown,Yes,Not Reported,Non-specific IED,1
Victim-activated,0,0,0,0,0,12,8,4,Afghanistan,15-12-2011,Four civilians killed in minibus,0,IED,Road,Unknown,Unknown,Unclear,Not Reported,Roadside Bomb,0
